,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum
181,2015-01-08 13:00:00,2015-01-08,13,2015-01-08 13:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-08,1
182,2015-01-08 14:00:00,2015-01-08,14,2015-01-08 14:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-08,1
183,2015-01-08 15:00:00,2015-01-08,15,2015-01-08 15:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-08,1
184,2015-01-08 16:00:00,2015-01-09,16,2015-01-08 16:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-08,1
185,2015-01-08 17:00:00,2015-01-09,17,2015-01-08 17:00:00,GPM,100.0,sunset,Flow (GPM),2015-01-08,1
186,2015-01-08 18:00:00,2015-01-09,18,2015-01-08 18:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-08,1
187,2015-01-08 19:00:00,2015-01-09,19,2015-01-08 19:00:00,GPM,100.0,sunset,Flow (GPM),2015-01-08,1
188,2015-01-08 20:00:00,2015-01-09,20,2015-01-08 20:00:00,GPM,140.0,sunset,Flow (GPM),2015-01-08,1
189,2015-01-08 21:00:00,2015-01-09,21,2015-01-08 21:00:00,GPM,70.0,sunset,Flow (GPM),2015-01-08,1
190,2015-01-08 22:00:00,2015-01-09,22,2015-01-08 22:00:00,GPM,80.00000000000001,sunset,Flow (GPM),2015-01-08,1
191,2015-01-08 23:00:00,2015-01-09,23,2015-01-08 23:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-08,1
192,2015-01-09 00:00:00,2015-01-09,0,2015-01-09 00:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-09,1
193,2015-01-09 01:00:00,2015-01-09,1,2015-01-09 01:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-09,1
194,2015-01-09 02:00:00,2015-01-09,2,2015-01-09 02:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-09,1
195,2015-01-09 03:00:00,2015-01-09,3,2015-01-09 03:00:00,GPM,0.0,sunset,Flow (GPM),2015-01-09,1
196,2015-01-09 04:00:00,2015-01-09,4,2015-01-09 04:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-09,1
197,2015-01-09 05:00:00,2015-01-09,5,2015-01-09 05:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-09,1
198,2015-01-09 06:00:00,2015-01-09,6,2015-01-09 06:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-09,1
199,2015-01-09 07:00:00,2015-01-09,7,2015-01-09 07:00:00,GPM,240.0,sunset,Flow (GPM),2015-01-09,1
200,2015-01-09 08:00:00,2015-01-09,8,2015-01-09 08:00:00,GPM,260.00000000000006,sunset,Flow (GPM),2015-01-09,1
201,2015-01-09 09:00:00,2015-01-09,9,2015-01-09 09:00:00,GPM,140.0,sunset,Flow (GPM),2015-01-09,1
202,2015-01-09 10:00:00,2015-01-09,10,2015-01-09 10:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-09,1
203,2015-01-09 11:00:00,2015-01-09,11,2015-01-09 11:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-09,1
204,2015-01-09 12:00:00,2015-01-09,12,2015-01-09 12:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-09,1
205,2015-01-09 13:00:00,2015-01-09,13,2015-01-09 13:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-09,1
